"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mytilidae,%20Lucinidae,%20Pectinidae,%20Pholadomyidae,%20Veneridae&taxon_reso=species&idqual=certain&max_ma=251.9&min_ma=0&show=class,classext,refattr,acconly"
"Access Time","Thu 2020-01-16 18:06:21 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mytilidae, Lucinidae, Pectinidae, Pholadomyidae, Veneridae"
"","idreso","species"
"","idqual","certain"
"","min_ma","0"
"","max_ma","251.9"
"","timerule","major"
"","taxon_status","all"
"","show","class,classext,refattr,acconly"
"Elapsed Time","0.786"
"Records Found","16488"
"Records Returned","16488"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","phylum_no","class","class_no","order","order_no","family","family_no","genus","genus_no","subgenus_no"
"343447","occ","","","31622","Modiolus salzstettensis","species","216978","Pelsonian","Illyrian","247.2","242","Stiller","2001","8524","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"343471","occ","","","31622","Schafhaeutlia astartiformis","species","137324","Pelsonian","Illyrian","247.2","242","Stiller","2001","8524","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Schafhaeutlia","18222",""
"344170","occ","","","32443","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344179","occ","","","32442","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344185","occ","","","32442","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344204","occ","","","32439","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344212","occ","","","32438","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344226","occ","","","32437","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344234","occ","","","32436","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344244","occ","","","32435","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344251","occ","","","32434","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344254","occ","","","32434","Cavilucina (Mesomiltha) bellona","species","170095","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Cavilucina (Mesomiltha)","17452","170094"
"344256","occ","","","32434","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344258","occ","","","32434","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344263","occ","","","32433","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344273","occ","","","32432","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344398","occ","","","32431","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344408","occ","","","32430","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344415","occ","","","32430","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344421","occ","","","32429","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344426","occ","","","32429","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344431","occ","","","32428","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344445","occ","","","32427","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344454","occ","","","32426","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344461","occ","","","32426","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344466","occ","","","32425","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344474","occ","","","32424","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344477","occ","","","32424","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344483","occ","","","32423","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344489","occ","","","32422","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344498","occ","","","32421","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344504","occ","","","32420","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344604","occ","","","32419","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344605","occ","","","32419","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344611","occ","","","32418","Chlamys textoria","species","210145","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"344618","occ","","","32418","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344620","occ","","","32418","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344630","occ","","","32417","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344631","occ","","","32417","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344636","occ","","","32416","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344648","occ","","","32415","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344649","occ","","","32415","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344657","occ","","","32414","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344661","occ","","","32414","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344663","occ","","","32414","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344670","occ","","","32413","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344680","occ","","","32412","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344690","occ","","","32411","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344696","occ","","","32410","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344704","occ","","","32409","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344717","occ","","","32408","Pholadomya (Pholadomya) idea","species","197470","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"344844","occ","","","32422","Modiolus giganteus","species","197456","Late Sinemurian","","196.5","189.6","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"344971","occ","","","32516","Chlamys scabrellus","species","114206","Badenian","","13.65","12.7","Gorka","2002","8714","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"347984","occ","","","32889","Praechlamys valoniensis","species","245701","Rhaetian","","208.5","201.3","Golebiowski","1989","7658","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Praechlamys","16948",""
"349797","occ","","","33294","Crenamussium concentricum","species","383555","Lacian","","221.5","215.56","Newton et al.","1987","8853","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Crenamussium","16580",""
"349799","occ","","","33294","Tosapecten subhiemalis","species","395900","Lacian","","221.5","215.56","Newton et al.","1987","8853","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Tosapecten","17069",""
"350266","occ","","","142611","Mytilus ursensis","species","267292","Tuvalian","","232","221.5","Smith","1927","8858","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Mytilus","16392",""
"350637","occ","","","33365","Pecten deformis","species","265372","Sevatian","","212","205.6","Gabb","1864","46292","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Pecten","16904",""
"352512","occ","","","33576","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352521","occ","","","33577","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352538","occ","","","33579","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352752","occ","","","33580","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352767","occ","","","33581","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352782","occ","","","33584","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352796","occ","","","33586","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352823","occ","","","33590","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352843","occ","","","33591","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352854","occ","","","33593","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352886","occ","","","33599","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352899","occ","","","33600","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352919","occ","","","33602","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352925","occ","","","33602","Pholadomya (Pholadomya) corrugata","species","313003","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"352939","occ","","","33603","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352942","occ","","","33605","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352958","occ","","","33606","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352968","occ","","","33607","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352976","occ","","","33607","Pholadomya (Pholadomya) corrugata","species","313003","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"352984","occ","","","33608","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"352991","occ","","","33608","Pholadomya (Pholadomya) corrugata","species","313003","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"353000","occ","","","33609","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"353018","occ","","","33611","Chlamys textoria","species","210145","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"353021","occ","","","33611","Eopecten velatus","species","163964","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eopecten","16641",""
"353027","occ","","","33611","Pholadomya (Pholadomya) corrugata","species","313003","Early Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"353041","occ","","","33654","Chlamys textoria","species","210145","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"353048","occ","","","33654","Modiolus giganteus","species","197456","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"353050","occ","","","33654","Pachymya (Pachymya) rotundocaudata","species","313022","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pachymya (Pachymya)","18780","313023"
"353052","occ","","","33654","Pholadomya (Pholadomya) corrugata","species","313003","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"353053","occ","","","33654","Pholadomya (Pholadomya) multilineata","species","313012","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"353054","occ","","","33654","Pholadomya (Pholadomya) fidicula","species","197469","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354185","occ","","","33755","Modiolus gerthi","species","264407","Toarcian","","182.7","174.1","Damborenea","1987","3975","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"354191","occ","","","33756","Modiolus gerthi","species","264407","Toarcian","","182.7","174.1","Damborenea","1987","3975","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"354198","occ","","","33757","Modiolus gerthi","species","264407","Toarcian","","182.7","174.1","Damborenea","1987","3975","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"354506","occ","","","33853","Modiolus gerthi","species","264407","Pliensbachian","Toarcian","190.8","174.1","Damborenea","1987","3975","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Modiolus","77219",""
"354611","occ","","","33655","Chlamys textoria","species","210145","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"354617","occ","","","33655","Cavilucina (Mesomiltha) bellona","species","170095","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Cavilucina (Mesomiltha)","17452","170094"
"354621","occ","","","33655","Pachymya (Pachymya) rotundocaudata","species","313022","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pachymya (Pachymya)","18780","313023"
"354623","occ","","","33655","Pholadomya (Pholadomya) fidicula","species","197469","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354645","occ","","","33656","Cavilucina (Mesomiltha) bellona","species","170095","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Cavilucina (Mesomiltha)","17452","170094"
"354647","occ","","","33656","Pachymya (Pachymya) rotundocaudata","species","313022","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pachymya (Pachymya)","18780","313023"
"354648","occ","","","33656","Pholadomya (Pholadomya) corrugata","species","313003","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354649","occ","","","33656","Pholadomya (Pholadomya) multilineata","species","313012","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354659","occ","","","33657","Chlamys textoria","species","210145","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"354669","occ","","","33657","Pholadomya (Pholadomya) corrugata","species","313003","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354670","occ","","","33657","Pholadomya (Pholadomya) multilineata","species","313012","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354681","occ","","","33658","Chlamys textoria","species","210145","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
"354689","occ","","","33658","Pachymya (Pachymya) rotundocaudata","species","313022","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pachymya (Pachymya)","18780","313023"
"354690","occ","","","33658","Pholadomya (Pholadomya) corrugata","species","313003","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354691","occ","","","33658","Pholadomya (Pholadomya) fidicula","species","197469","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354704","occ","","","33659","Cavilucina (Mesomiltha) bellona","species","170095","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Cavilucina (Mesomiltha)","17452","170094"
"354709","occ","","","33659","Pholadomya (Pholadomya) corrugata","species","313003","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354710","occ","","","33659","Pholadomya (Pholadomya) multilineata","species","313012","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354711","occ","","","33659","Pholadomya (Pholadomya) fidicula","species","197469","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354727","occ","","","33660","Cavilucina (Mesomiltha) bellona","species","170095","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Cavilucina (Mesomiltha)","17452","170094"
"354734","occ","","","33660","Pholadomya (Pholadomya) multilineata","species","313012","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354735","occ","","","33660","Pholadomya (Pholadomya) fidicula","species","197469","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354756","occ","","","33661","Cavilucina (Mesomiltha) bellona","species","170095","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Cavilucina (Mesomiltha)","17452","170094"
"354763","occ","","","33661","Pholadomya (Pholadomya) corrugata","species","313003","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354764","occ","","","33661","Pholadomya (Pholadomya) fidicula","species","197469","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pholadomyida","18688","Pholadomyidae","61725","Pholadomya (Pholadomya)","18795","245710"
"354777","occ","","","33662","Chlamys textoria","species","210145","Late Pliensbachian","","189.6","183","Aberhan","1992","487","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Chlamys","16549",""
