"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Mytilidae,%20Lucinidae,%20Pectinidae,%20Pholadomyidae,%20Veneridae&taxon_reso=species&idqual=certain&max_ma=251.9&min_ma=0&show=class,classext,refattr,acconly"
"Access Time","Thu 2020-01-16 18:06:21 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Mytilidae, Lucinidae, Pectinidae, Pholadomyidae, Veneridae"
"","idreso","species"
"","idqual","certain"
"","min_ma","0"
"","max_ma","251.9"
"","timerule","major"
"","taxon_status","all"
"","show","class,classext,refattr,acconly"
"Elapsed Time","0.786"
"Records Found","16488"
"Records Returned","16488"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","phylum_no","class","class_no","order","order_no","family","family_no","genus","genus_no","subgenus_no"
"14662","occ","","","1286","Pitar securiformis","species","61779","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Pitar","18075",""
"14689","occ","","","1287","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14690","occ","","","1287","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14702","occ","","","1287","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14703","occ","","","1287","Pitar securiformis","species","61779","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Pitar","18075",""
"14732","occ","","","1288","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14733","occ","","","1288","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14734","occ","","","1288","Saxolucina gaufia","species","62176","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Saxolucina","18217",""
"14745","occ","","","1288","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14746","occ","","","1288","Pitar securiformis","species","61779","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Pitar","18075",""
"14765","occ","","","1289","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14772","occ","","","1289","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14789","occ","","","1290","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14790","occ","","","1290","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14800","occ","","","1290","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14822","occ","","","1291","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14823","occ","","","1291","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14835","occ","","","1291","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14849","occ","","","1292","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14850","occ","","","1292","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14858","occ","","","1292","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14892","occ","","","1293","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14893","occ","","","1293","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14900","occ","","","1293","Pitar securiformis","species","61779","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Pitar","18075",""
"14901","occ","","","1293","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14929","occ","","","1294","Eburneopecten scintillatus","species","60186","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Eburneopecten","16620",""
"14930","occ","","","1294","Myrtaea (Myrtaea) curta","species","160638","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Lucinida","161489","Lucinidae","60971","Myrtea (Myrtea)","17946","109746"
"14939","occ","","","1294","Callista annexa","species","59481","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Callista","17423",""
"14940","occ","","","1294","Pitar securiformis","species","61779","Lutetian","Priabonian","47.8","33.9","Elder","1981","39","Mollusca","7805","Bivalvia","16005","Veneroidei","17297","Veneridae","62779","Pitar","18075",""
"14971","occ","","","1295","Crenella elegantula","species","130052","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
"14975","occ","","","1295","Camptonectes bubonis","species","61647","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Pectinida","81178","Pectinidae","61660","Camptonectes","16531",""
"15006","occ","","F","1295","Crenella serica","species","377026","Maastrichtian","","72.1","66","Jablonski and Raup","1999","40","Mollusca","7805","Bivalvia","16005","Mytilida","16334","Mytilidae","61248","Crenella","16350",""
